Project Name,Issue Key,Issue Type,Summary,Description,Status,Priority,Assignee,Reporter,Labels,Comments,Attachments,Created Date,Updated Date,Due Date,Linked Issues,Sprint,Story Points,Components,Fix Version(s),Resolution,Delay (Days)
Project Alpha: E-commerce Platform Redesign,PA-1,Epic,Implement new checkout flow,"Develop and integrate a streamlined, secure, and user-friendly checkout process to reduce cart abandonment rates. This includes payment gateway integration, shipping options, and order confirmation.",In Progress,High,Alice Johnson,Bob Williams,"UI/UX, Checkout, Payments","""Initial design mockups approved. Need to integrate with Stripe API.""",checkout_flow.pdf,2025-01-10,2025-05-20,2025-07-15,"PA-2, PA-3",Sprint 5: Checkout Optimization,-,"Frontend, Backend",1.2,Unresolved,0
,PA-2,Story,"As a user, I want to pay with multiple options","Enable users to select from various payment methods (credit card, PayPal, UPI) at checkout for convenience.",To Do,Medium,Charlie Davis,Alice Johnson,"Payments, UX","""Researching best practices for multi-payment integration.""",-,2025-01-25,2025-05-18,2025-06-30,PA-1,Sprint 5: Checkout Optimization,8,Payment Gateway,1.2,Unresolved,0
,PA-3,Bug,Payment processing fails randomly in UAT,Users are reporting intermittent failures during payment processing in the User Acceptance Testing environment. Error logs show a timeout issue with the payment gateway.,In Progress,High,David Brown,Emily White,"Bug, Payments, UAT","""Investigating network latency issues with the payment provider. Potentially a configuration problem.""",error_logs.zip,2025-03-10,2025-05-22,2025-05-25,"PA-1, PA-4",Sprint 5: Checkout Optimization,-,"Backend, Integrations",1.1.1,Unresolved,3
,PA-4,Task,Update shipping cost calculation logic,"Modify the backend logic to incorporate dynamic shipping costs based on weight, destination, and selected carrier.",Done,Medium,Fiona Green,David Brown,"Shipping, Backend","""Logic updated and tested. Ready for deployment.""",-,2025-02-01,2025-04-15,2025-04-10,PA-3,Sprint 4: Shipping Improvements,-,Shipping Module,1.1,Fixed,5
,PA-5,Bug,Product image loading slowly on mobile,"High-resolution product images are taking a long time to load on mobile devices, impacting user experience.",To Do,Low,Gina Hall,Alice Johnson,"Performance, Mobile","""Need to implement image optimization and lazy loading for mobile views.""",-,2025-04-01,2025-05-10,2025-06-01,-,Sprint 6: Performance,-,Frontend,1.2,Unresolved,0
Project Beta: Mobile App Development,PB-1,Epic,Develop user authentication system,"Create a robust and secure user authentication system for the mobile application, including registration, login, password reset, and session management.",In Progress,High,George Harris,Ivy King,"Security, Authentication","""Auth flow wireframes approved. Starting backend API development next week.""",auth_flow.png,2025-02-15,2025-05-19,2025-08-01,"PB-2, PB-3",Sprint 3: Core Features,-,User Management,1,Unresolved,0
,PB-2,Story,"As a new user, I want to register securely",Implement user registration with email verification and strong password requirements.,To Do,Medium,Kevin Lee,George Harris,"Registration, Security","""Considering multi-factor authentication options for future.""",-,2025-03-01,2025-05-15,2025-06-15,PB-1,Sprint 3: Core Features,5,User Management,1,Unresolved,0
,PB-3,Bug,Login fails on Android 14 devices,"Users with Android 14 are unable to log in, reporting an ""unexpected error."" This does not occur on previous Android versions.",In Progress,High,Laura Miller,Natalie Owen,"Bug, Android, Login","""Logs show a compatibility issue with a recent Android 14 API change. Working on a hotfix.""",android_logs.txt,2025-04-05,2025-05-21,2025-05-24,PB-1,Sprint 3: Core Features,-,Mobile Client,0.9.1,Unresolved,2
,PB-4,Task,Integrate push notification service,Integrate Firebase Cloud Messaging (FCM) to enable sending push notifications to users for important updates and alerts.,Done,Medium,Mike Perry,George Harris,"Notifications, FCM","""FCM integration complete and tested with test notifications. Ready for UAT.""",-,2025-03-15,2025-05-10,2025-05-05,-,Sprint 2: User Engagement,-,Integrations,0.9,Fixed,5
,PB-5,Bug,App crashes on iOS devices when offline,The mobile app crashes when launched or used without an internet connection on iOS devices.,To Do,High,Olivia Parker,Ivy King,"Bug, iOS, Offline","""Requires robust offline caching strategy implementation. Investigating RealmDB.""",crash_log_ios.txt,2025-04-20,2025-05-10,2025-06-10,-,Sprint 4: Stability,-,Mobile Client,1,Unresolved,0
Project Gamma: Data Analytics Dashboard,PG-1,Epic,Build real-time data visualization,"Develop an interactive dashboard to visualize sales, user activity, and marketing campaign performance in real-time.",In Progress,High,Peter Quinn,Rachel Scott,"Dashboard, Analytics","""Initial wireframes are ready. Need to decide on the charting library.""",dashboard_wireframes.pdf,2025-01-05,2025-05-15,2025-07-30,"PG-2, PG-3",Sprint 2: Core Visuals,-,"Frontend, Reporting",1,Unresolved,0
,PG-2,Story,"As an analyst, I want to filter data by date",Implement date range filtering functionality on all dashboard widgets for customized data analysis.,To Do,Medium,Sam Taylor,Peter Quinn,"Filtering, UX","""Considering daterange picker components. Needs to be performant with large datasets.""",-,2025-01-20,2025-05-10,2025-06-20,PG-1,Sprint 2: Core Visuals,8,"UI, Data Processing",1,Unresolved,0
,PG-3,Bug,Data discrepancy in sales reports,"Sales figures on the dashboard do not match the raw data in the database for specific periods, indicating a data processing error.",In Progress,High,Uma Verma,Vincent Wang,"Bug, Data, Reporting","""Identified a rounding error in the ETL pipeline. Working on a fix.""",discrepancy_report.xlsx,2025-03-01,2025-05-22,2025-05-26,PG-1,Sprint 3: Data Integrity,-,Data Pipeline,0.9.1,Unresolved,1
,PG-4,Task,Optimize database queries for performance,Refactor slow-running SQL queries to improve dashboard loading times and responsiveness.,Done,High,Wendy Xu,Uma Verma,"Performance, Database","""Indexes added to frequently queried columns. Query times reduced by 40%.""",-,2025-02-10,2025-04-20,2025-04-18,-,Sprint 1: Infrastructure,-,"Backend, Database",0.9,Fixed,2
,PG-5,Story,"As a user, I want to export reports as CSV",Add functionality to allow users to export the displayed dashboard data into a CSV format for further analysis.,To Do,Low,Yara Zang,Peter Quinn,"Export, Reporting","""Exploring client-side CSV generation for large datasets.""",-,2025-04-10,2025-05-05,2025-06-30,-,Sprint 4: Enhancements,3,"Frontend, Reporting",1.1,Unresolved,0
Project Delta: Cloud Migration for Legacy System,PD-1,Epic,Migrate monolithic application to AWS,Plan and execute the migration of the existing on-premise monolithic application to a scalable and resilient infrastructure on Amazon Web Services (AWS).,In Progress,High,Alan Cooper,Brenda Diaz,"Cloud, AWS, Migration","""Initial infrastructure setup in progress. Need to define microservice boundaries.""",migration_plan.pdf,2025-01-15,2025-05-21,2025-09-30,"PD-2, PD-3",Sprint 1: Infrastructure Setup,-,"Infrastructure, Backend",1,Unresolved,0
,PD-2,Story,"As a developer, I want to deploy services via CI/CD",Set up continuous integration and continuous deployment pipelines for automated builds and deployments of new services to AWS.,To Do,High,Chris Evans,Alan Cooper,"CI/CD, DevOps","""Evaluating Jenkins vs. GitLab CI for pipeline management.""",-,2025-02-01,2025-05-10,2025-07-15,PD-1,Sprint 2: DevOps,13,"DevOps, Infrastructure",1,Unresolved,0
,PD-3,Bug,Database connection issues in Dev environment,Intermittent database connection failures are occurring in the development environment after initial AWS setup.,In Progress,High,Daniel Fisher,Brenda Diaz,"Bug, Database, AWS","""Suspecting security group or VPC configuration issues. Checking network ACLs.""",db_logs.txt,2025-03-20,2025-05-22,2025-05-28,PD-1,Sprint 1: Infrastructure Setup,-,"Backend, Database",0.9.1,Unresolved,0
,PD-4,Task,Containerize existing services with Docker,Create Docker images for all existing application services to facilitate deployment on Kubernetes.,Done,Medium,Elena Garcia,Chris Evans,"Docker, Containerization","""All services successfully containerized. Images pushed to ECR.""",-,2025-02-10,2025-04-30,2025-04-25,-,Sprint 3: Containerization,-,Backend,0.9,Fixed,5
,PD-5,Story,"As an admin, I want to monitor application health","Implement comprehensive monitoring and alerting for all migrated services, including CPU, memory, and error rates.",To Do,Medium,Frank Harris,Alan Cooper,"Monitoring, Alerts","""Exploring Prometheus and Grafana for dashboarding. Need to define key metrics.""",-,2025-04-01,2025-05-01,2025-07-01,-,Sprint 4: Monitoring,8,DevOps,1,Unresolved,0
Project Epsilon: Internal Tool for Customer Support,PE-1,Epic,Develop CRM integration,Integrate the internal support tool with Salesforce CRM to synchronize customer data and case information.,In Progress,High,Grace Jones,Henry Kim,"CRM, Integration","""Salesforce API access granted. Mapping data fields for synchronization.""",integration_spec.pdf,2025-01-20,2025-05-18,2025-08-10,"PE-2, PE-3",Sprint 3: Data Sync,-,"Integrations, Backend",1,Unresolved,0
,PE-2,Story,"As a support agent, I want to view customer history","Display a comprehensive view of customer interaction history, including past tickets and purchases, within the support tool.",To Do,Medium,Irene Lewis,Grace Jones,"Customer View, UX","""Designing UI for customer history panel. Needs to pull data from multiple sources.""",-,2025-02-05,2025-05-10,2025-07-01,PE-1,Sprint 4: UI Enhancements,8,Frontend,1,Unresolved,0
,PE-3,Bug,Search function returns irrelevant results,"The search functionality for customer tickets is providing inaccurate or irrelevant results, making it difficult for agents to find information quickly.",In Progress,High,Jack Martin,Henry Kim,"Bug, Search, UX","""Investigating indexing issues with Elasticsearch. Rebuilding index.""",search_error.log,2025-03-05,2025-05-22,2025-05-27,PE-1,Sprint 3: Data Sync,-,"Backend, Search Engine",0.9.1,Unresolved,0
